language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id,id,notes
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Baban Sadik, Allah ya saka maka da alheri da fadakarwar da kake yi wa al'umma",culture_and_religion,religious blessing,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Zamfara,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Daga Nasiru Sani Gusau, Jihar Zamfara",culture_and_religion,location,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Ina godiya matuka Malam Nasiru, Allah saka maka kaima da alheri, ya kuma ji kan mahaifa",culture_and_religion,Appreciation and blessing,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Baban Sadiq, shin, zan iya tura sakon Imel ta hanyar tsarin 'MMS' ga wanda nake son tura wa, alhali ban bude Imel ba? Na gode",media_and_online,Sending email,specialized_advice,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Saboda mafi yawan mutune sun fi debo kamannin iyayensu mata da dabiunsu,culture_and_religion,family and society,stereotypes,gender,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Za ka ga uba fari tas amma in matarsa baka ce sai aga mafi yawan yayansa bakake,culture_and_religion,marriage and relationships,stereotypes,gender,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Da fatan babu matsala nagode,culture_and_religion,gratitude,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Wannan shafi da na baka dai shi ne shafi mafi shahara a Intanet kan abin da ya shafi aikawa da karbar amsar fatawowi kan al'amuran Musulunci,media_and_online,online resources on Islamic affairs,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"A gaskiya a halin yanzu dai ban san wani shafi karbabbe, cikin harshen Hausa, wanda ke karba da kuma amsa tambayoyi kan sha'anin Musulunci ba",culture_and_religion,Hausa language resources,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Allah sa a dace, amin",culture_and_religion,prayer,public_interest,religion,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Kuma wane ne Harun Yahya, da gudunmawarsa a kimiyance?",culture_and_religion,Harun Yahya's background,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Idan kana bukata ba sai ka canza shafinka ba, wanda zai zama mai wahala a gareka, kana iya bude Dandali na Musamman",media_and_online,using technology,specialized_advice,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Dangane da Harun Yahya kuma, wani shahararren mai bincike ne kan fannin halitta a musulunce, da bambance-bambancen da ke tsakanin mahangar Kur'ani da mahangar Malaman kimiyyar karnoni biyar zuwa yau",culture_and_religion,Harun Yahya's research on religion,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Asalin sunansa shi ne Adnan Oktar, kuma an haife shi ne a birnin Ankara na kasar Turkiyya cikin shekarar 1956, yana da shekaru 57 kenan a duniya yanzu",culture_and_religion,biography,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Adnan Oktar mutum ne mai sha'awa kan binciken malaman kimiyya musamman na wannan zamani, tare da gwama fahimtarsu da wanda ke cikin Kur'ani ko Hadisai ingantattu",education,Research on modern scientists,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Littafin farko da ya fara fitarwa shi ne ""The Atlas of Creation,"" wanda babban kundi ne kan bayanan da suka shafi halittu, da tsarin halittarsu, da hotunansu, da kuma mu'jizar Allah da ke cikin halittatarsu",culture_and_religion,Hausa literature and creation,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"com idan kuma na sauran fannin ilmin kimiyya ne zalla, sai aje wannan shafin: [URL]",education,Academic disciplines,public_interest,,safe,true,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Lauwali barka dai, ina godiya matuka da addu'arka, kaima Allah kara maka basira, ya kuma ba ka wadatuwa wajen nema ga Allah, da'iman",culture_and_religion,Blessing and gratitude,public_interest,,safe,false,,,
