language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Wayar salula na bukatar wanka da wanki,health,personal hygiene,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,23 na yamma,household_and_care,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Allah saka da alheri, amin",culture_and_religion,religious blessing,public_interest,religion,safe,false,
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/danmalamisa/status/2015155740428648840,2026-01-24,"[USER] Gani nan cewa ake duk mai haka za'a raina shi anma ni har kuka nake idan naga budurwa ta tayi fushi,kuma laifi na ne",culture_and_religion,Emotional reaction,hate_or_insult,gender,sensitive,true
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Bayan kammala kwaleji sai ya tafi makarantar horas da sojoji ta Najeriya (Nigerian Military Training College) a ranar 10 ga watan Disamba na shekarar 1962 zuwa ranar 20 ga watan Afirilu na shekarar 1963,education,Hausa man's military training,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Ya kuma bayyana cewa ko a wurin yaƙi, idan mutum yana so ya ga bayan maƙiyansa, abu na farko da yake yi shi ne kai hari ga shugabanni, da janarori, da an yi hakan, duka sauran sojojin jikin su zai mutu, in ji shi",governance_civic,Warfare and battle tactics,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Ka kaddara gidansa ne ka zo shiga,household_and_care,entering a house,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Mawakin mutum ne da ke da farin jini a yankunan karkara,health,blood disorders,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Mutane da dama sun ɓata da abokan zamansu, wasu sun rasa gidajen zama, iyaye mata sun ringa bayyana takaici cikin kuka saboda halin matsin tattalin arziki da matsananciyar damuwar da suka shiga bayan jami'an haraji sun sa su a gaba",livelihoods_and_work,social and economic challenges,public_interest,income_level,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"(5) Masallacin Kuba: Wannan shine masallacin da ma'aikin Allah (Tsira da amincin Allah su tabbata a gareshi) ya gina kafin ya shiga birnin madina, domin ya yi kwanaki anan kafin ya shiga, anan ne kuma ya yi sallar juma'a ta farko a musulunci",culture_and_religion,Masjid Kuba,public_interest,,safe,false,
Hausa,latin,Nigeria,Unknown,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,– Idris Salihu Musa,culture_and_religion,name,public_interest,,safe,false,
Hausa,latin,Nigeria,Katsina,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,yusuf Bala Usman jini sarautar Katsina ne,culture_and_religion,Yusuf Bala Usman's chieftaincy,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Sai dai, har yanzu wannan fasaha bat agama bunqasa ba",education,education and learning,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Kano Ƙwaryar Ƙira Matattarar Alheri Littafi na Ɗaya,culture_and_religion,Alheri Littafi,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Wannan sarauta ita ce ta farko a Kano, kuma har yanzu (2017), shi Alhaji Yusuf Maitama, shi ke riƙe da wannan sarauta; kenan tun daga 1984 zuwa 2017, ya samu shekaru 63 yana riƙe da wannan sarauta",governance_civic,Traditional rulership in Kano,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Embed A Yada Sojan Najeriya ya Fasa Kwai Kashi na Uku - 3'35"" by VOA Embed A Yada The code has been copied to your clipboard",media_and_online,Hausa news report,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Ana kara shekaru biyu gaba (wato a shekarar 1868), sai wasu daga cikin malaman Daular Girka suka kunno kai da nasu sakamakon binciken",culture_and_religion,historical event,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"(1) Ka so wannan gari sabo da falalar da yake da ita, da son da ma'aikin Allah (Tsira da amincin Allah su tabbata a gareshi) yake masa",culture_and_religion,praise for a place,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"A yunƙurin kawo wasu kamfanoni, sai ta bayyana cewa, dukkan kamfanonin da suka nuna buƙata, ƙawaye ne na wancan kamfani na farko, kamfanonin da suka haɗa da Esso, Mobil Texaco, da Kuma Elf",livelihoods_and_work,business partnerships,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Niamey,web_public,https://nuriddeen.blogspot.com/,2026-03-06,A ranar asabat 6 ga watan jimada-thani shekara ta 1438BH dai-dai da 04/03/2017 Allah [T] ya bani ikon kai ziyara babban gidan ajiye kayayyakin tarihi da namun daji wato ‘National Museum’ ko kuma ‘Musee National’ [ BOUBOU HAMA] da ke Niamey ta jamhuriyar Niger,culture_and_religion,Museum visit,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Jihar Oyo na da 72 sai Delta mai 65, ita kuwa Rivers tana da 64 inda a Kano aka samu mutum 46",governance_civic,regional population statistics,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Haihuwarsa An haifi Bola Ahmad Tinibu a garin Legas a ranar 29 ga watan Maris na shekara 1952,culture_and_religion,Birth of Bola Tinubu,public_interest,,safe,FALSE,
