language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,=== Me ya sa shugaban Iran ya nemi afuwar maƙwaftan ƙasar? ===,governance_civic,Iran's leader seeking forgiveness,public_interest,,safe,false,
Hausa,latin,Nigeria,Unknown,web_public,https://www.bbc.com/hausa,2026-03-13,URL: [URL],media_and_online,URL,public_interest,,safe,true,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,Shugaban ƙasar Iran Masoud Pezeshkian ya bai wa mutane da dama mamaki bayan ya nemi afuwar maƙwaftan ƙasar bisa ga hare-haren da ƙasar ta ƙaddamar a cikinsu.,governance_civic,Iran's president's actions,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"Shugaban ya nemi afuwar ne a ranar Asabar, a matsayinsa na ɗaya daga cikin mambobin kwamitin riƙon-ƙwarya na jagorancin ƙasar.",governance_civic,Government official's activities,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"Abu ne mai wahala wata ƙasa ta nemi afuwar wata, musamman a alokacin da ake gwabza yaƙi, haka nan ma kalmomin da ya yi amfani da su, sun ɗauki hankali.",governance_civic,Conflict and language use,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"A mafi yawan lokuta da wahala ka ga shugabanni sun yi amfani da kalamar ""nadama"", sannan kuma ba su cika ɗaukan alhaki ba kai-tsaye.",governance_civic,Political leadership,stereotypes,,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,Amma shi Pezeshkian kai-tsaye ya amince cewa an kai farmaki kan ƙasashe masu maƙwaftaka sannan ya ce a yanzu an buƙaci dakaru su tsagaita daga kai musu hari har sai idan daga cikin ƙasashen ne aka kai wa Iran hari.,governance_civic,Military action against Iran,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"""Na ga dacewar na nemi afuwar ƙasashe maƙwafta waɗanda aka kai wa hari,"" in ji shi.",governance_civic,attack on countries,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"""Ba aniyarmu ba ne mu far wa maƙwaftanmu.""",culture_and_religion,Intention and action,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"To sai dai tambayar ita ce: shin wannan neman afuwa ta kai zuci, kuma me ya sa sai yanzu?",culture_and_religion,Seeking forgiveness,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,Wata ƙila mataki ne na shugabancin ƙasar wajen ganin yankin bai hargitse ba.,governance_civic,governance and security,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,Ƙasashe da dama na yankin sun samu kansu a tsakiyar musayar wuta tun bayan harin da Amurka da Isra'ila suka ƙaddamar kan Iran ranar Asabar 28 ga watan Fabarairu.,governance_civic,Conflict in the Middle East,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"Pezeshkian ya bayyana cewa ""dole ne"" ta sanya Iran ta ƙaddamar da hare-hare bayan harin da aka kai mata wanda ya yi sanadiyyar kashe manyan jagorori da kwamandojin ƙasar.",governance_civic,Iran's actions and consequences,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"Ta hanayr neman afuwa, Iran ta nuna cewa ba ta son yaƙi ya rincaɓe tsakaninta da maƙwaftanta.",governance_civic,Iran-Hausa diplomatic relations,public_interest,,safe,false,
