language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Kano Shiga Masarauta ko Jaha Gabatarwa Kano, suna ne na birni daga cikin biranen Ƙasar Hausa na asali wanda kuma shi ne mafi albarka a cikinsu",culture_and_religion,Hausa cultural and geographic information,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Sarkin Musulmi Muhammadu Ballo ya ce: “Kuma mafi albarkarta, Kano”",culture_and_religion,Religious leader's statement,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Sannan kuma sunan masarauta ne daga cikin manya-manyan masaratun Ƙasar Hausa da ma baki ɗayan Najeriyar wannan zamani da muke ciki,culture_and_religion,Hausa culture and leadership,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Bayan haka ma kuma ya taɓa zama sunan lardi a zamanin Turawan Mulkin Mallaka,culture_and_religion,Hausa history,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Daga ƙarshe kuma Kano ce jaha mafi yawan jama’a a duk faɗin Tarayyar Najeriya,governance_civic,Population of Kano,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Wannan gari mai suna Kano, shi ne fadar Masarautar Kano, cibiyar tsohon Lardin Kano sannan kuma matsugunnin fadar gwamnatin jahar Kano",governance_civic,Kano city and government,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Cibiyar Kasuwanci, shi ne taken da gwamnatin Najeriya ta karɓa a hukumance",governance_civic,Government commerce body,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Wannan suna kuwa ba jayayya a cikinsa,culture_and_religion,Lack of argument,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Kano ce garin da yake da kasuwannin ƙasa-da-ƙasa sama da goma a iya cikin ƙwaryar garin,livelihoods_and_work,Kano city commercial hubs,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Abin da ya bai wa garin cikakkiyar damar taka muhimmiyar rawa a fannin kasuwanci tun shekaru sama da ɗari shida da suka shuɗe a faɗin duniya,livelihoods_and_work,Importance of commerce,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Idan ma ka ga dama, kana iya cewa kasuwanci ne ya kafa garin Kano",livelihoods_and_work,Kano commerce,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Kasuwar Kurmi, wacce ta haura shekaru ɗari shida tana wanzuwa a Kano, kasuwa ce wacce ba za a taɓa raba tarihinta da tarihin kafuwar garin Kano ba",culture_and_religion,Kurmi Market history,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Tun zamanin da su Dala suke farauta masunta kuma suna kamun kifi a yankin kurmin Jakara wanda kasuwar ta samo suna daga kurmin da mutane suke zuwa suna gudanar da kasuwanci irin na wancan zamanin ta hanyar bayar da abubuwan da suka samu su kuma su karɓi kifi da nama daga hannun masunta da mafarauta,livelihoods_and_work,Fishing and hunting in the Jakara river region,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Inji Sarkin Kasuwar Kurmi, Alhaji Abdullahi Maikano Darma a tattaunar da muka yi da shi a ranar 15, ga watan Janairu, 2019",livelihoods_and_work,Sarkin Kasuwar Kurmi interview,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Yankin Kurmin Jakara Daga Kwarin Kwana Gayawa Haka nan ma ta fuskacin sana’a da masana’antu, ba a bar Kano a bayan ba saboda gudunmawar da ta bayar wajen fitar da ingantattun kayayyakin da suka shafi fata da kuma saƙe tun ƙarnoni biyar da suka shuɗe",livelihoods_and_work,Kano craftsmanship and industry,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Kano ta yi fice a duniya a wancan zamani ta fuskar sana’o’in da suka shafi ƙira, jima, rini, saƙa da sauransu",livelihoods_and_work,Kano's progress,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Fitaccen marubucin tarihin Afirka, Rodney (1972), ya ce: “Ta ɓangaren Afirka ta Arewa, Turawa suka san jar jemammiyar fata mafi inganci wacce ake yi a Afirka, wacce aka yi wa laƙabi da Morocco Leather",culture_and_religion,Leather history in Africa,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,A taƙaice wannan ƙwararru daga Hausa da Mandiga a Arewacin Najeriya da Mali su suke jeme ta sannan su rina ta”,culture_and_religion,Hausa and Mandinka language usage,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Ni kuma na tabbatar maka da cewa, Hausa a nan, yana nufin garin Kano",culture_and_religion,Hausa language,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Saboda su mutanen Mali su suka zo da jima Kano,livelihoods_and_work,travel to Kano,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Duba Sana’ar Jima,livelihoods_and_work,Profession or job,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Haka nan ta fuskacin addinin Musulunci da kuma karatun Alƙur’ani, Kano tun sama da shekaru ɗari shida aka buɗe makarantu da masallatai a dukkan faɗin masarautar",culture_and_religion,Hausa culture and religion,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Kano ita ce maƙyanƙyasar karatu da rubutun bokon dukkan faɗin Ƙasar Hausa ko kuma a ce Arewacin Najeriya kai tsaye,education,Hausa language and writing,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Gidan Ɗanhausa, shi ya zama matsugunnin makarantar fimare ta farko da ta yi nasarar yaye ɗaliban da suka yaɗa ilimin boko a dukkan Arewacin Najeriya",education,Hausa primary school,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Siyar Najeriya, wacce aka samu nasarar kafa jamhuriyar farko da ita, kuma jama’iyyun suka zama tubalin ginin fafutikar samun yancin kan ƙasa, an hafi wasu da yawa a Kano",governance_civic,history of Nigeria,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Kusan mafiya yawan jama’iyyun Arewacin Najeriya ‘ya’ya ne ko jikokin NEPU da NPC waɗanda duk a Kano aka ƙyanƙyashe su,governance_civic,Hausa political parties,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Manufar wannan shafi da mai karatu yake karantawa, ita ce fito da duk wani abu da ya shafi Kano wanda hannunmu zai iya kai wa gare shi ta fuskancin tarihin garin, masarauta, sarakuna, bukukuwa, addini, jaha, kasuwanni, gwamnoni, limamai, mashahuran malamai, muhimman gurare, mashahuran attajirai da sauransu",culture_and_religion,Hausa culture and history,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Abin sani kawai shi ne ya kamata ka zama mai bibiyar wannan shafi domin samun sababbin bayanai da za a iya ɗurawa a kodawane lokaci,media_and_online,accessing website information,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Ko kuma ka lalubi Rumbun Ilimi a shafin Fesbuk ka kuma yi ‘Like’, wannan za ta baka cikakkiyar damar samun masaniya game da sabunta duk ma shafin da muka yi nan take",media_and_online,Facebook usage and learning,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Manazarta: Ballo M,culture_and_religion,Manazarta event,public_interest,,safe,FALSE,
